abacinat: vc; 'abacinate' 
chopp: vc;VNPPP artifact count vt 'chop' 
chortl: vc;VPP abstract count 'chortle' 
christianis: vc; 'christianise' 
chuckl: vc;VPP count v 'chuckle' 
chugg: vc;abstract count vt 'chug' 
cicatris: vc; 'cicatrise' 
cinche: vc;count prod0 v 'cinch' 
circl: vc;abstract component count vt 'circle' 
circularis: vc;vt 'circularise' 
circulat: vc;VNPPP VPP VPPPP VTH express move 'circulate' 
circumcis: vc;resume vt 'circumcise' 
circumscrib: vc;chgProperty vt 'circumscribe' 
circumvallat: vc;coil 'circumvallate' 
circumvolut: vc;enMove 'circumvolute' 
cit: vc;VHOWSS VNPPNGoc VNPPP VNPPPas abstract express praise vt 'cite' 
citie: nc;component count locUnit 'city' 
citifi: vc;chgAttr 'citify' 
citifie: vc;chgAttr 'citify' 
civilis: vc;mkOthersKnowledge vt 'civilise' 
civiliz: vc;mkOthersKnowledge vt 'civilize' 
clapp: vc;VNPPP VPP abstract count natural 'clap' 
clarifi: vc;express 'clarify' 
clarifie: vc;express 'clarify' 
clashe: vc;VI VIrecip VPP VerbNom count v 'clash' 
classicis: vc; 'classicise' 
classifi: vc;VNPPP VNPPPas VNPasAP chgInclude vt 'classify' 
classifie: vc;VNPPP VNPPPas VNPasAP chgInclude vt 'classify' 
cleav: vc;VNPPP VPP chgForm vt 'cleave' 
clenche: vc;VNPPP abstract enMove vt 'clench' 
climaxe: vc;VI VNPPP VPP VerbNom count situation 'climax' 
clinche: vc;VIrecip VPP abstract count vt 'clinch' 
clipp: vc;VNPPP component count prod vt 'clip' 
clogg: vc;VNPPP VerbNom count vt worsen 'clog' 
clopp: vc;express 'clop' 
clott: vc;VPP count 'clot' 
clutche: A;VNPPP VPP component count good tool vt 'clutch' 
co-operat: vc;VPP act hyphenated 'co-operate' 
co-ordinat: vc;abstract hyphenated 'co-ordinate' 
coagulat: vc;VNPPP VPP looksChg 'coagulate' 
coalesc: vc;VPP tie 'coalesce' 
coaxe: vc;VNPPP VNPTOoc vtPer 'coax' 
cobbl: vc;natural vt 'cobble' 
cobwebb: vc;artifact count 'cobweb' 
cocainis: vc;mkAct 'cocainise' 
cocainiz: vc;mkAct 'cocainize' 
coddl: vc;fondOf vt 'coddle' 
codifi: vc;produce vt 'codify' 
codifie: vc;produce vt 'codify' 
coerc: vc;VNPPP VNPTOoc enDo vt 'coerce' 
coggl: vc;move 'coggle' 
cogitat: vc;VPP VPPhowTO VWHSS mkOwnKnowledge vt 'cogitate' 
cogniz: vc;haveKnowledge vt 'cognize' 
coher: vc;VI VPP looksChg 'cohere' 
coincid: vc;VI VIrecip VPP from suit 'coincide' 
cok: vc;artifact vt 'coke' 
collaborat: vc;VPP VPPPP associate 'collaborate' 
collaps: vc;VI VPP VerbNom attack count nt sequence statePhy vt 'collapse' 
collat: vc;tryToKnow vt 'collate' 
collectiviz: vc;chgAttr 'collectivize' 
colli: vc;chgLooks 'colly' 
collid: vc;VI VIrecip VPP chgForm suit 'collide' 
collimat: vc;tryToKnow vt 'collimate' 
collocat: vc;VPP control tie 'collocate' 
collud: vc;VI VPP associate 'collude' 
colonie: nc;count 'colony' 
colonis: vc;create vt 'colonise' 
coloniz: vc;VNPPP create vt 'colonize' 
coloris: vc; 'colorise' 
colouris: vc; 'colourise' 
combatt: vc;VPP VerbNom prod0 vt 'combat' 
combin: vc;VI VIrecip VNPPP VPP abstract artifact count group vt 'combine' 
commemorat: vc;VNPPP pEmo vt 'commemorate' 
commenc: vc;VI VPP act vtoV 'commence' 
commentat: vc;VPP 'commentate' 
commercialis: vc;chgAttr vt 'commercialise' 
commercializ: vc;chgAttr vt 'commercialize' 
commingl: vc;VIrecip VPP tie 'commingle' 
comminut: vc;chgForm 'comminute' 
commiserat: vc;VPP nAttitude vt 'commiserate' 
committ: vc;VNPPNGoc VNPPP VNPTOoc VPNGsc VPP vt vtoV 'commit' 
commixe: vc;tie 'commix' 
commun: ;VI VIrecip VPP count org v 'commune' 
communicat: vc;VI VIrecip VNPPP VPP VPPPP VPPTH VPPhowTO VPhisNG express vt 'communicate' 
communis: vc;vt 'communise' 
commut: vc;VNPPP VPP VPPPP VerbNom 'commute' 
commutat: vc;chgPoss 'commutate' 
companie: nc;comHN component count intimacy 'company' 
compar: vc;VNPPP VNPPhisNG VPP VRB vt 'compare' 
compartmentalis: vc;vt 'compartmentalise' 
compasse: vc;count prod tool vt 'compass' 
compell: vc;VNPTOoc enDo vt 'compel' 
compensat: vc;VNPPP VNPRB VPP give vt 'compensate' 
comper: vc;count job vi 'compere' 
compet: vc;VI VIrecip VPP VPPPP VPPas pt 'compete' 
compil: vc;VNPPP VNPPPas produce vt 'compile' 
complet: A;APP VNG degree range situation vt 'complete' 
complexifi: vc;worsen 'complexify' 
complexifie: vc;worsen 'complexify' 
compli: vc;VPP chgFit vi 'comply' 
complicat: vc;mkAct vt worsen 'complicate' 
complie: vc;VPP chgFit vi 'comply' 
complott: vc;mkOwnKnowledge 'complot' 
compos: vc;VNPPP VNPPPas VPP produce vt 'compose' 
compresse: vc;VNPPP count lessC tool vt 'compress' 
compris: vc;VNPPP containV inclusive tWord vt 'comprise' 
compromis: A vc;VPP VerbNom tWord 'compromise' 
comput: vc;VNPPP tryToKnow vt 'compute' 
computeriz: vc;chgAttr vt 'computerize' 
concatenat: vc;tie vt 'concatenate' 
conced: vc;VNG VNPTObe VPP VSS VTH chgFit dative express give 'concede' 
conceiv: vc;CR VI VNPPPas VPP VTH beNormal deduce vt 'conceive' 
concentrat: vc;VNPPNGsc VNPPP VNPPPPP VPP VPhisNG count phy 'concentrate' 
conciliat: vc;VNPPP associate chgEmo persuade 'conciliate' 
conclud: vc;VI VNPPP VPNGsc VPP VSS VTH decide mkBetter vt 'conclude' 
concretis: vc;chgAttr 'concretise' 
concretiz: vc;chgAttr 'concretize' 
concurr: vc;VI VPP sequence vi 'concur' 
concusse: vc;move 'concuss' 
condens: vc;VNPPP chgMeasure looksChg mkBetter 'condense' 
condol: vc;emo vt 'condole' 
condon: vc;nAttitude nt vt 'condone' 
confabb: vc;VIrecip VPP abstract count v 'confab' 
confabulat: vc;VI VIrecip VPP communicate 'confabulate' 
confederat: A vc;VIrecip VPP count per vt 'confederate' 
conferr: vc;VIrecip VNPPP VPP VPPPP communicate give 'confer' 
confesse: vc;VPNGsc VPP VPPTH VSS VTH express 'confess' 
confid: vc;VNPPP VPPTH VTH 'confide' 
configur: vc;VNPTOoc create vt 'configure' 
confin: vc;VNPPNGoc VNPPP causeNotDo chgProperty tWord vt 'confine' 
confiscat: vc;collect vt 'confiscate' 
conflagrat: vc;warmUp 'conflagrate' 
conflat: vc;VNPPP VPP tie 'conflate' 
confus: vc;VNPPP annoy passion vt weakPI 'confuse' 
confut: vc;reply vt 'confute' 
cong: vc;count v 'conge' 
congratulat: vc;VNPPP congr pEmo pt vt 'congratulate' 
congregat: vc;VI VIrecip VPP enMove 'congregate' 
conjectur: vc;VTH abstract 'conjecture' 
conniv: vc;VPP VPPPP associate mkOwnKnowledge 'connive' 
connot: vc;mkOthersKnowledge vt 'connote' 
consecrat: vc;VNPNP VPP give pEmo vt 'consecrate' 
conserv: vc;keep move vt 'conserve' 
consociat: vc;associate 'consociate' 
consol: vc;component count tool vt 'console' 
consolidat: vc;VNPPP VPP chgProperty mkBetter 'consolidate' 
conspir: vc;VI VIrecip VPP mkOwnKnowledge vtoV 'conspire' 
conspiracie: nc;VerbNom thinking 'conspiracy' 
consternat: vc;annoy 'consternate' 
constipat: vc;metabolize vt 'constipate' 
constitut: vc;create inclusive vt 'constitute' 
constitutionalis: vc; 'constitutionalise' 
constru: vc;VNPPPas VNPTOoc express vt 'construe' 
consum: vc;chgQuant use vacVO vt 'consume' 
consummat: A;VNPPP plusAmount quality up vt 'consummate' 
contaminat: vc;VNPPP vt worsen 'contaminate' 
contemplat: vc;VPP VTH VhisNG act tryToKnow vVing vt 'contemplate' 
contemporis: vc;appear 'contemporise' 
contemporiz: vc;appear 'contemporize' 
continu: vc;VI VNG VPNGsc VPP VPPas VRB beNormal enGrow vtoV 'continue' 
contradistinguishe: vc;VPP tryToKnow vt 'contradistinguish' 
contraindicat: vc;causeNotDo vt 'contraindicate' 
contraven: vc;chgFit lessC vt 'contravene' 
contribut: vc;VI VNPPP VPP give vt 'contribute' 
contriv: vc;mkOwnKnowledge vt 'contrive' 
contus: vc;troubleW vt 'contuse' 
convalesc: vc;VI cease keep statePhy vi 'convalesce' 
conven: vc;control move perOrgV 'convene' 
conventionalis: vc;chgAttr vt 'conventionalise' 
conventionaliz: vc;chgAttr vt 'conventionalize' 
converg: vc;VI VIrecip VPP move tie 'converge' 
convers: vc;VI VIrecip VPP VPPPP abstract count 'converse' 
convinc: vc;VNPPP VNPSS VNPTOoc haveKnowledge perOrgV vtPer 'convince' 
convok: vc;vt 'convoke' 
convolut: A;nt vt 'convolute' 
convuls: vc;move perV suffer 'convulse' 
cooperat: vc;VI VIrecip VPP VPPPP VPhisNG act 'cooperate' 
coordinat: A nc vc;VNPPP abstract count 'coordinate' 
copi: vc;Nom VNPPP VPP abstract artifact vt 'copy' 
copie: vc;Nom VNPPP VPP abstract artifact vt 'copy' 
copolymeris: vc; 'copolymerise' 
copp: vc;count currency job useC vt 'cop' 
copulat: vc;VI VIrecip VPP associate 'copulate' 
cornic: vc;component count v 'cornice' 
coronat: vc;give vt 'coronate' 
corrall: vc;count vt 'corral' 
correlat: vc;VNPPP abstract 'correlate' 
corroborat: vc;VTH mkOwnKnowledge tWord vt 'corroborate' 
corrod: vc;looksChg mkBad 'corrode' 
coruscat: vc;chgLooks vt 'coruscate' 
coshe: vc;count tool v 'cosh' 
cossett: vc;fondOf vt 'cosset' 
countenanc: vc;VNPNGoc abstract looks vt 'countenance' 
counter-bidd: vc;communicate hyphenated 'counter-bid' 
counterbalanc: vc;VIrecip VPP VerbNom content count strength vt 'counterbalance' 
counterchalleng: vc; 'counterchallenge' 
counterchang: vc;chgPoss 'counterchange' 
countercharg: vc;abstract v 'countercharge' 
countermin: vc;botchW count vt 'countermine' 
counterplott: vc;VPP abstract count vt 'counterplot' 
countrie: nc; 'country' 
cours: vc;Nom VPPdir artifact count vacOf vt vtoV 'course' 
coxe: vc;count vt 'cox' 
cradl: vc;VNPPP count tool vt 'cradle' 
cramm: A vc;VNPPP VPP a moveIn 'cram' 
cranberrie: nc;plant 'cranberry' 
crash-div: vc;VNPPP VPP count hyphenated 'crash-dive' 
crashe: A;VI VNPPP VPP VerbNom troubleW vt 'crash' 
crav: vc;VPP emph love passion perV vt 'crave' 
crawfishe: vc;animal v 'crawfish' 
creas: vc;count natural vt 'crease' 
creat: vc;VNPNP VNPPNGoc VNPTOoc causeV perOrgV tWord vacVO vt 'create' 
cremat: vc;vt warmUp 'cremate' 
creosot: vc;artifact v 'creosote' 
crep: vc;artifact 'crepe' 
cri: vc;VPP VSS VTH VerbNom count mental natural needForW perV vi vt 'cry' 
crie: vc;VPP VSS VTH VerbNom count mental natural needForW perV vi vt 'cry' 
criminalis: vc; 'criminalise' 
criminat: vc;VNPPNGoc VNPPP blame mkOwnKnowledge 'criminate' 
cring: vc;VI move vi 'cringe' 
crinkl: vc;count natural 'crinkle' 
crippl: A;aggravateW vt 'cripple' 
crisscrosse: vc;VNPPP VPP component vt 'crisscross' 
criticis: vc;VNPPP VNPPhisNG blame perOrgV vt 'criticise' 
criticiz: vc;VI VNPPNGoc VNPPP VNPPPas VNPPhisNG VNPasAP VWHSS blame passion perOrgV vt weakPI 'criticize' 
critiqu: vc;count v 'critique' 
cropp: vc;VNPAP VNPPP count looks plant vt 'crop' 
cross-examin: vc;ask hyphenated vt 'cross-examine' 
cross-indexe: vc;VNPPP count hyphenated 'cross-index' 
cross-pollinat: vc;hyphenated send vt 'cross-pollinate' 
crosscutt: A vc;a count v 'crosscut' 
crouche: vc;VI VPP count statePhy v 'crouch' 
crucifi: vc;mkBad vt 'crucify' 
crucifie: vc;mkBad vt 'crucify' 
crumbl: vc;VI VNPPP VPP looksChg nt sequence vt 'crumble' 
crumpl: vc;chgForm looksChg 'crumple' 
crunche: vc;abstract count vt 'crunch' 
crushe: vc;VNPPP VPP abstract count vt 'crush' 
crystalis: vc;vt 'crystalise' 
crystallis: vc; 'crystallise' 
crystalliz: vc;chgLooks chgProperty 'crystallize' 
cuddl: vc;VIrecip VPP abstract count vt 'cuddle' 
culminat: vc;VPP 'culminate' 
cultivat: vc;enGrow mkBetter promoteW 'cultivate' 
cumulat: vc;chg vt 'cumulate' 
cupp: vc;VNPPP count currency prod vt 'cup' 
curat: vc;count job v 'curate' 
curdl: vc;VPP chgLooks looksChg 'curdle' 
curett: vc;tool v 'curette' 
currencie: nc;abstract artifact 'currency' 
curri: vc;artifact vt 'curry' 
curs: vc;VI VNPNGoc VPP VerbNom count hate nt vt 'curse' 
curtsi: vc;VI VPP count vi 'curtsy' 
curtsie: vc;VI VPP count vi 'curtsy' 
curv: vc;VPP VPPdir abstract count natural posture 'curve' 
curvett: vc;abstract v 'curvet' 
cusse: vc;count per v 'cuss' 
customis: vc;VNPPP VNPPPas create vt 'customise' 
customiz: vc;VNPPP VNPPPas create vt 'customize' 
cutt: vc;VBDN VNPPP VPP VerbNom count lessC space vt 'cut' 
cycl: vc;VPPdir count quant timeUnit 'cycle' 
cyclostyl: vc;count tool vt 'cyclostyle' 
dabb: vc;VI VPP abstract count v 'dab' 
dabbl: vc;VNPPP VPP chgMeasure 'dabble' 
daddie: nc;count per 'daddy' 
daguerreotyp: vc;count v 'daguerreotype' 
dalli: vc;VI VPNGsc VPP doNot vi whileAway 'dally' 
dallie: vc;VI VPNGsc VPP doNot vi whileAway 'dally' 
damag: vc;VerbNom aggravateW attack nt vt 'damage' 
damnifi: vc;mkBad 'damnify' 
damnifie: vc;mkBad 'damnify' 
danc: vc;VPP VerbNom vt 'dance' 
dandifi: vc;beautify 'dandify' 
dandifie: vc;beautify 'dandify' 
dandl: vc;pt vt 'dandle' 
dangl: vc;VNPPP VPP move nt 'dangle' 
dapp: vc;move 'dap' 
dappl: vc;VNPPP animal vt 'dapple' 
dar: nc vc;MD VI VNPTOoc abstract count vt vtoV 'dare' 
dashe: vc;VNPPP count 'dash' 
dawdl: vc;VI VPP doNot move spend vi 'dawdle' 
daz: vc;VPP abstract count vt 'daze' 
dazzl: vc;VNPPP VPP abstract chgLooks 'dazzle' 
de-escalat: vc;VPP chgProperty hyphenated 'de-escalate' 
de-ic: vc;hyphenated looksChg vt 'de-ice' 
deactivat: vc;enHidden 'deactivate' 
deaerat: vc;enHidden 'deaerate' 
debarr: vc;VNPPP VNPPhisNG causeNotDo collect vt 'debar' 
debas: vc;VNPPP chgProperty chgQuant vt 'debase' 
debat: vc;VIrecip VNPPP VPP VWHSS VerbNom VhisNG 'debate' 
debauche: vc;VNPPP count vt 'debauch' 
debilitat: vc;attack situation vt 'debilitate' 
debon: vc;enHidden 'debone' 
debugb: vc;mkBetter resume vt 'debug' 
decalcifi: vc;enHidden 'decalcify' 
decalcifie: vc;enHidden 'decalcify' 
decapitat: vc;mkBad vt 'decapitate' 
deceas: vc;VI VerbNom statePhy vi 'decease' 
deceiv: vc;VI VNPPP VPhisNG mkMisunderstand vt 'deceive' 
decelerat: vc;chgMeasure lessC 'decelerate' 
decentralis: vc;chgAttr nAttitude vt 'decentralise' 
decentraliz: vc;chgAttr nAttitude vt 'decentralize' 
decid: vc;VHOWSS VI VPP VSS VTH VWHSS decide vt vtoV 'decide' 
decimalis: vc;chg vt 'decimalise' 
decimaliz: vc;chg vt 'decimalize' 
decimat: vc;attack remove vt 'decimate' 
declar: vc;VNPAP VNPNP VNPPPas VNPTObe VPP VSS VTH express perOrgV tWord vt 'declare' 
declassifi: vc;VNPPP mkAct vt 'declassify' 
declassifie: vc;VNPPP mkAct vt 'declassify' 
declin: vc;VI VNG VerbNom count nt prospect statePhy vt vtoV 'decline' 
decod: vc;VNPPP VPP VPPPP express vt 'decode' 
decoloris: vc; 'decolorise' 
decolouris: vc; 'decolourise' 
decolouriz: vc;chgLooks 'decolourize' 
decompos: vc;VNPPP chgConnect mkBad 'decompose' 
decompresse: vc;chgProperty 'decompress' 
deconcentrat: vc;nAttitude 'deconcentrate' 
decorat: vc;VNPPP beautify control 'decorate' 
decorticat: vc;enAppear vt 'decorticate' 
decoupl: vc;chg 'decouple' 
decreas: vc;VI VNPPP VPP VPPPP VerbNom count lessC statePhy vt 'decrease' 
decri: vc;VNPPNGoc VNPPP annoy blame vt 'decry' 
decrie: vc;VNPPNGoc VNPPP annoy blame vt 'decry' 
decriminalis: vc;chgAttr 'decriminalise' 
decriminaliz: vc;chgAttr 'decriminalize' 
dedicat: vc;VNPPP VNPPPas VNPPhisNG pt vt 'dedicate' 
deduc: vc;VNPPP VNPPhisNG VPPTH VTH think vt 'deduce' 
deep-freez: vc;count hyphenated vt 'deep-freeze' 
deep-fri: vc;hyphenated produce 'deep-fry' 
deep-frie: vc;hyphenated produce 'deep-fry' 
deepfreez: vc;enMove 'deepfreeze' 
defac: vc;mkBad vt 'deface' 
defalcat: vc;take vt 'defalcate' 
defam: vc;VNPPhisNG annoy playDown vtPer 'defame' 
defatt: vc;enHidden 'defat' 
defecat: vc;VNPAP express metabolize 'defecate' 
defeminis: vc;enHidden 'defeminise' 
defeminiz: vc;enHidden 'defeminize' 
deferr: vc;VNG VNPPP VPP chgMeasure vVing 'defer' 
defi: vc;VNPTOoc chgFit doNot nAttitude vt 'defy' 
defie: vc;VNPTOoc chgFit doNot nAttitude vt 'defy' 
defil: vc;VNPPP artifact component count natural vt 'defile' 
defin: vc;VNPPP VNPPPas VNPTObe VNPTOoc VNPasAP VWHSS express mkOwnKnowledge vt 'define' 
deflat: vc;lessC move 'deflate' 
defogg: vc; 'defog' 
defoliat: vc;enAppear 'defoliate' 
defus: vc;chgProperty correctW vt 'defuse' 
degase: vc;enHidden 'degas' 
degausse: vc;chgProperty vt 'degauss' 
degenerat: A;VI VPP VPPPP a count lessC nt per vt 'degenerate' 
degrad: vc;VNPPP VPP attack chgGrade 'degrade' 
degreas: vc;enHidden 'degrease' 
dehumanis: vc;annoy vt 'dehumanise' 
dehumaniz: vc;annoy 'dehumanize' 
dehumidifi: vc;enHidden 'dehumidify' 
dehumidifie: vc;enHidden 'dehumidify' 
dehydrat: vc;VI VPP enHidden ownNot 'dehydrate' 
dehydrogenat: vc;enHidden 'dehydrogenate' 
deifi: vc;chgAttr vt 'deify' 
deifie: vc;chgAttr vt 'deify' 
delegat: vc;VNPPP VNPTOoc VerbNom count per 'delegate' 
delet: vc;VI enHidden remove 'delete' 
delimitat: vc;chgProperty 'delimitate' 
delineat: vc;VNPPP VPPhowTO VWHSS chgProperty express vt 'delineate' 
delud: vc;VNPPNGoc VNPPP VTH mkMisunderstand vt 'delude' 
delv: vc;VI VPP VRB vi 'delve' 
demagnetis: vc;chgProperty vt 'demagnetise' 
demagnetiz: vc;chgProperty 'demagnetize' 
demarcat: vc;VNPPP VNPPPas VNPRB chgProperty vt 'demarcate' 
demasculinis: vc;enHidden 'demasculinise' 
demasculiniz: vc;enHidden 'demasculinize' 
demilitariz: vc;VI enHidden 'demilitarize' 
demitt: vc;give 'demit' 
demobb: vc;chgInclude vt 'demob' 
demobilis: vc;chgInclude vt 'demobilise' 
demobiliz: vc;chgInclude vt 'demobilize' 
democratis: vc;chgAttr vt 'democratise' 
democratiz: vc;chgAttr vt 'democratize' 
demodulat: vc;tryToKnow vt 'demodulate' 
demolishe: vc;looksChg mkBad remove vt 'demolish' 
demonetis: vc;vt 'demonetise' 
demonis: vc;chgAttr vt 'demonise' 
demoniz: vc;chgAttr vt 'demonize' 
demonstrat: vc;VHOWSS VI VNPPP VNPPPas VNPTObe VPP VSS VTH fight show tWord vt 'demonstrate' 
demoralis: vc;annoy vtPer 'demoralise' 
demoraliz: vc;annoy vtPer 'demoralize' 
demot: vc;VNPPP VNPPhisNG chgGrade vt 'demote' 
demulsifi: vc;enHidden 'demulsify' 
demulsifie: vc;enHidden 'demulsify' 
demystifi: vc;chgAttr 'demystify' 
demystifie: vc;chgAttr 'demystify' 
demythologis: vc;vt 'demythologise' 
denationalis: vc;chgAttr vt 'denationalise' 
denationaliz: vc;chgAttr vt 'denationalize' 
denaturalis: vc; 'denaturalise' 
denazifi: vc;enHidden 'denazify' 
denazifie: vc;enHidden 'denazify' 
deni: vc;VNG VNPPPas VNPPPfor VTH VhisNG attack dative vVing vt 'deny' 
denie: vc;VNG VNPPPas VNPPPfor VTH VhisNG attack dative vVing vt 'deny' 
denigrat: vc;attack playDown thing vt 'denigrate' 
denitrifi: vc;enHidden 'denitrify' 
denitrifie: vc;enHidden 'denitrify' 
denominat: vc;enBe 'denominate' 
denot: vc;beC vt 'denote' 
denounc: vc;VNPPNGoc VNPPP VNPPPas blame perOrgV vt 'denounce' 
denucleariz: vc;mkAct 'denuclearize' 
denud: vc;VNPPP collect enAppear 'denude' 
denunciat: vc; 'denunciate' 
deodoris: vc; 'deodorise' 
deodouris: vc; 'deodourise' 
deoxidiz: vc;enHidden 'deoxidize' 
depersonalis: vc;enHidden 'depersonalise' 
depersonaliz: vc;enHidden 'depersonalize' 
depictur: vc;express 'depicture' 
depilat: vc;enHidden 'depilate' 
deplan: vc;VI move 'deplane' 
deplet: vc;VNPPP chgQuant 'deplete' 
deplor: vc;VTH VhisNG mkOthersKnowledge nAttitude nt vt 'deplore' 
deplum: vc;collect 'deplume' 
depolaris: vc;vt 'depolarise' 
depos: vc;VI VNPPNGoc VNPPP causeNotBe enHidden 'depose' 
deprav: vc;annoy beC vt 'deprave' 
deprecat: vc;disagree vt 'deprecate' 
depreciat: vc;VPP VPPPP attack lessC 'depreciate' 
depresse: vc;VNPNP lessC passion vt 'depress' 
depressuris: vc; 'depressurise' 
depriv: vc;VNPPP collect vt 'deprive' 
deput: vc;VNPPP VNPPPas VNPTOoc enDo vt 'depute' 
deputiz: vc;VNPPNGoc VNPPP VNPPPas VPP beC 'deputize' 
deracinat: vc;moveOut vt 'deracinate' 
derang: vc;injureW mkBad vt 'derange' 
derat: vc;chgQuant vt 'derate' 
derid: vc;VNPPNGoc VNPPP VNPPPas annoy vt 'deride' 
deriv: vc;VNPPNGsc VNPPP VPP beNormal causeV chgPoss vt 'derive' 
desalinat: vc;VI chgAttr enHidden 'desalinate' 
desaliniz: vc;chgAttr enHidden 'desalinize' 
descal: vc;enHidden 'descale' 
descri: vc;VNPNGoc haveKnowledge vt 'descry' 
describ: vc;VNPPP VNPPPas VNPasAP VPPhowTO express infoV vt 'describe' 
descrie: vc;VNPNGoc haveKnowledge vt 'descry' 
desecrat: vc;VNPPP vt 'desecrate' 
desensitis: vc;VI VNPPP VPP enHidden 'desensitise' 
desensitiz: vc;VI VNPPP VPP enHidden 'desensitize' 
deserv: vc;property pt vt vtoV 'deserve' 
desexualis: vc; 'desexualise' 
designat: A vc;VNPAP VNPNP VNPPNGoc VNPPP VNPPPas VNPTOoc VNPasAP VNPasEN chgProperty enBe use 'designate' 
desir: vc;VNG VNPEN VNPPP VNPTOoc VPPforTO VTH VerbNom mental need needForW passion perV purpose stateMental useC vt vtoV weakPI 'desire' 
despatche: vc;VNPPPas VNPPPdir abstract count vt 'despatch' 
despis: vc;VPPforTO VhisNG emph hate passion vt vtoV 'despise' 
desquamat: vc;enAppear vt 'desquamate' 
destabilis: vc;vt 'destabilise' 
destalinis: vc;vt 'destalinise' 
destin: vc;VNPPP VNPPhisNG VNPTOoc express 'destine' 
destinie: nc;VerbNom situation 'destiny' 
desynchronis: vc;vt 'desynchronise' 
detache: vc;VNPPP enDo vt 'detach' 
deteriorat: vc;VI beBad lessC nt sequence vt 'deteriorate' 
determin: vc;CR VHOWSS VNPPPas VNPTObe VSS VTH VWHSS decide tryToKnow vt vtoV 'determine' 
deterr: vc;VNPPhisNG attack causeNotDo vt 'deter' 
dethron: vc;causeNotBe enHidden 'dethrone' 
detonat: vc;vt warmUp 'detonate' 
detoxe: vc;treatment 'detox' 
detoxicat: vc;enHidden 'detoxicate' 
detoxifi: vc;VI VNPPP VPP enHidden 'detoxify' 
detoxifie: vc;VI VNPPP VPP enHidden 'detoxify' 
detransitivis: vc; 'detransitivise' 
detribalis: vc;vt 'detribalise' 
deuterat: vc;chgAttr 'deuterate' 
devalu: vc;quantChg vt 'devalue' 
devaluat: vc;VPP VPPPP quantChg 'devaluate' 
devastat: vc;VNPPP attack mkBad remove vt 'devastate' 
deviat: vc;VPP per 'deviate' 
devilis: vc; 'devilise' 
devis: vc;VNPPP VNPPPas VNPTOoc abstract enExist mkOwnKnowledge pt vt 'devise' 
devitalis: vc;attack chgProperty vt 'devitalise' 
devitaliz: vc;attack chgProperty vt 'devitalize' 
devitrifi: vc;enHidden 'devitrify' 
devitrifie: vc;enHidden 'devitrify' 
devolv: vc;VPP beBad give 'devolve' 
devot: vc;VNPPP VNPPhisNG give tWord vt 'devote' 
diabolis: vc; 'diabolise' 
diagnos: vc;VNPPNGoc VNPPPas check tWord vt 'diagnose' 
diagonalis: vc;vt 'diagonalise' 
dialys: vc; 'dialyse' 
dialyz: vc; 'dialyze' 
dibb: vc;ceaseMove 'dib' 
dibbl: vc;count tool 'dibble' 
dictat: vc;VNPPP VTH VWHSS abstract chg count vt 'dictate' 
differentiat: vc;VNPPP tryToKnow vt 'differentiate' 
difficultie: nc;bad count problem 'difficulty' 
diffus: A;VNPPP VPP chg 'diffuse' 
digg: vc;VPP VerbNom count 'dig' 
digitaliz: vc;chgAttr vt 'digitalize' 
digitis: vc;chgAttr vt 'digitise' 
digitiz: vc;chgAttr vt 'digitize' 
dignifi: vc;VNPPP VNPPhisNG reputation vt 'dignify' 
dignifie: vc;VNPPP VNPPhisNG reputation vt 'dignify' 
digresse: vc;VI VPP chgFit content vi 'digress' 
dilat: vc;VPP chgMeasure express move 'dilate' 
dilly-dalli: vc;VI VPP chgMeasure hyphenated vi 'dilly-dally' 
dilly-dallie: vc;VI VPP chgMeasure hyphenated vi 'dilly-dally' 
dillydalli: vc;chgMeasure nt 'dillydally' 
dillydallie: vc;chgMeasure nt 'dillydally' 
dilut: A;VNPPP concentration lessC minusAmount vt 'dilute' 
diminishe: vc;VI VPP VRB chgMeasure chgQuant lessC quantChg vt 'diminish' 
dimm: A;bright clear content vt 'dim' 
dimpl: vc;component count vt 'dimple' 
dipp: vc;VNPPP VerbNom vt 'dip' 
disabl: vc;nt remove vt 'disable' 
disabus: vc;VNPPP resume vt 'disabuse' 
disaffiliat: vc;chgConnect 'disaffiliate' 
disagre: vc;VI VPP VPPPP VPPTH VPhisNG VTH intimacy nAttitude suit vi 'disagree' 
disambiguat: vc;enHidden 'disambiguate' 
disapprov: vc;VI VPP VPPNG VPhisNG disagree 'disapprove' 
disarrang: vc;mkBad vt 'disarrange' 
disassembl: vc;chgConnect move 'disassemble' 
disbarr: vc;enHidden 'disbar' 
disbeliev: vc;nAttitude nt 'disbelieve' 
disbudd: vc;end vt 'disbud' 
disburs: vc;VNPPPdir give 'disburse' 
discharg: vc;VNPPP VerbNom vt 'discharge' 
disciplin: vc;VNPPPas component vt 'discipline' 
disclos: vc;VNPPP VPPTH VSS VTH VWHSS enAppear vt 'disclose' 
discoloris: vc; 'discolorise' 
discombobulat: vc;VNPPP attack chgKnow vt 'discombobulate' 
discommod: vc;chg vt 'discommode' 
discompos: vc;annoy vt 'discompose' 
discontinu: vc;VNG VNPPP VNPPPas remove vt 'discontinue' 
discountenanc: vc;causeNotDo vt 'discountenance' 
discourag: vc;VNPPNGoc VNPPP VNPPhisNG attack vt 'discourage' 
discours: vc;VI VIrecip VPP VPhisNG VerbNom info v 'discourse' 
