20-20_technologies::: NNP NE;nc com nc 
embry-riddle_aeronautical_prescott::: ;NN nc org 
embry-riddle_aeronautical_university::: ;NN nc org 
emergent_biosolutions::: NNP NE;nc com nc 
emisphere_technologies::: NNP NE;nc com nc 
emmaus_bible_college::: ;NN nc org 
emory_&_henry_college::: ;NN nc org 
emporia_state_university::: ;NN nc org 
empty_out::: VB vc;VNPPP VPP vt 
emulation_technology::: NNP NE;nc com nc 
en_pointe_technologies::: NNP NE;nc com nc 
enbridge_technology::: NNP NE;nc com nc 
encore_electronics::: NNP NE;nc com nc 
end_off::: VB vc;VNPPP 
end_to_end_anastomosis::: N nc;treatment 
end_to_side_anastomosis::: N nc;treatment 
end_up::: VB vc;VNG VPP VSS vAP 
endometrial_cancer_cellular_diagnosis::: N nc;treatment 
endometrial_carcinoma_cellular_diagnosis::: N nc;treatment 
endoscopic_mucosal_resection::: N nc;treatment 
endoscopic_submucosal_dissection::: N nc;treatment 
energy_conversion_devices::: NNP NE;nc com nc 
enfra_networks::: NNP NE;nc com nc 
engineering_solutions::: NNP NE;nc com nc 
engro_chemical_pakistan::: NNP NE;nc com nc 
enter_in::: VB vc;vt 
enterprise_partners::: NNP NE;nc com nc 
environmental_chemicals_and_lubricants::: NNP NE;nc com nc 
environmental_services_worker::: N nc;job 
envirotech_solutions::: NNP NE;nc com nc 
envoys_electronics::: NNP NE;nc com nc 
enzal_chemicals::: NNP NE;nc com nc 
enzyme_prodrug_therapy::: N nc;treatment 
epicentre_biotechnologies::: NNP NE;nc com nc 
epicyclic_gear_train::: N nc;tool 
eqo_communications::: NNP NE;nc com nc 
equal_employment_opportunity_commission::: ;NN nc org 
equal_opportunity_employer::: N nc; 
era_electronic::: NNP NE;nc com nc 
eresearch_technology::: NNP NE;nc com nc 
erie_railroad::: NNP NE;nc com nc 
ernst_&_young::: NNP NE;nc com nc 
error_correction_code::: N nc;tool 
escort_away::: VB vc;vt 
escort_back::: VB vc;vt 
escort_off::: VB vc;vt 
esophagus_cancer_cellular_diagnosis::: N nc;treatment 
espey_manufacturing_&_electronics::: NNP NE;nc com nc 
esprit_de_corps::: NN nc;mental 
ess_technology::: NNP NE;nc com nc 
essenchem_chemical::: NNP NE;nc com nc 
estate_of_the_realm::: ;org 
estrogen_replacement_therapy::: N nc;treatment 
et_system_electronic::: NNP NE;nc com nc 
etch_out::: VB vc;vt 
eteleon_e-solutions::: NNP NE;nc com nc 
eternal_chemical::: NNP NE;nc com nc 
eti_technical_college::: ;NN nc org 
etron_technology::: NNP NE;nc com nc 
eugene_bible_college::: ;NN nc org 
evangel_christian_university_of_america::: ;NN nc org 
evans_&_sutherland_computer::: NNP NE;nc com nc 
even-spray_&_chemicals::: NNP NE;nc com nc 
even_out::: VB vc;VI vt 
even_up::: VB vc;VI vt 
everex_systems::: NNP NE;nc com nc 
evergreen_state_college::: ;NN nc org 
everlight_electronics::: NNP NE;nc com nc 
evertz_technologies::: NNP NE;nc com nc 
everybody_else::: NN nc;per proNN vac 
ewing's_sarcoma_cellular_diagnosis::: N nc;treatment 
excalibur_almaz::: NNP NE;nc com nc 
excel_technology::: NNP NE;nc com nc 
exco_technologies::: NNP NE;nc com nc 
executive_vice_president::: N nc;job 
exide_technologies::: NNP NE;nc com nc 
explain_away::: VB vc;vt 
explorer_technology_group::: NNP NE;nc com nc 
explosive_detection_system::: N nc;prod tool 
explosive_trace_detection::: NN nc;prod tool 
export-import_bank_of_the_u.s.::: ;NN nc org 
express-1_expedited_solutions::: NNP NE;nc com nc 
express_luxury_liner::: NN nc;tool 
extech_electronics::: NNP NE;nc com nc 
extend_back::: VB vc;VPP 
extend_down::: VB vc;VPP 
extend_forward::: VB vc;vt 
extend_out::: VB vc;VI vt 
extended_care_facility::: N nc;com 
extended_daily_dialysis::: N nc;treatment 
external_beam_radiotherapy::: N nc;treatment 
extra_label_drug_use::: N nc;treatment 
extracapsular_cataract_extraction::: N nc;treatment 
extractable_nuclear_antigen_antibody_level::: N nc;abstract 
extrahepatic_bile_duct_cancer_cellular_diagnosis::: N nc;treatment 
exxon_mobil::: NNP NE;nc com nc 
ez_way_industrial_chemicals::: NNP NE;nc com nc 
ezell's_fried_chicken::: NNP NE;nc com nc 
f._teldeschi_winery::: NNP NE;nc com nc 
face-amount_certificate_company::: N nc;com 
face_off::: VB vc;VPP 
face_out::: VB vc;vt 
face_up::: VB vc;VPP 
facial_nerve_surgery::: N nc;treatment 
factor_in::: VB vc;VI vt 
factor_out::: VB vc;vt 
factor_vii_level::: N nc;abstract 
factor_viii_level::: N nc;abstract 
factor_x_level::: N nc;abstract 
factor_xi_level::: N nc;abstract 
factor_xii_level::: N nc;abstract 
fade_in::: VB vc;VI 
faes_farma::: NNP NE;nc com nc 
fairchild_semiconductor_international::: NNP NE;nc com nc 
fairleigh_dickinson_university::: ;NN nc org 
fairmont_state_college::: ;NN nc org 
fairtrade_labelling_organizations_international::: NNP NE;nc com nc 
faith_baptist_bible_college::: ;NN nc org 
fall_forward::: VB vc;VPP 
fall_in::: VB vc;VPP 
fall_in_love_with::: VB vc;fondOf love vtPer 
fall_out::: VB vc;VI VPP chgFit communicate vi 
fall_short_of::: VB vc;nt quantChg vtt 
false_flag_alert::: N nc;troubleW 
family_medical_history::: N nc;abstract 
fan_away::: VB vc;vt 
faraday_technology::: NNP NE;nc com nc 
fare_on::: VB vc;VPP 
farm_out::: VB vc;VI VPP vt 
farma_lepori::: NNP NE;nc com nc 
farmatic_biotech_energy::: NNP NE;nc com nc 
farmer_brothers::: NNP NE;nc com nc 
farmers_merchants_bank::: NNP NE;nc com nc 
farmexpert_dci::: NNP NE;nc com nc 
farmland_industries::: NNP NE;nc com nc 
farrow_down::: VB vc;VI 
fashion_institute_of_design::: ;NN nc org 
fast_electron_therapy::: N nc;treatment 
fast_neutron_therapy::: N nc;treatment 
fast_time_scale::: N nc unit; 
fasten_down::: VB vc;vt 
fasten_in::: VB vc;vt 
fasten_up::: VB vc;vt 
father_in_law::: NN nc;relatives 
fax_off::: VB vc;vt 
fax_over::: VB vc;vt 
fayetteville_state_university::: ;NN nc org 
fda_food_code::: N nc;tool 
fecal_occult_test::: N nc;tech 
federal_accounting_standards_advisory_board::: ;NN nc org 
federal_aviation_agency::: ;NN nc org 
federal_bureau_of_investigation::: ;NN nc org 
federal_communications_commission::: ;NN nc org 
federal_deposit_insurance_corporation::: ;NN nc org 
federal_emergency_management_agency::: ;NN nc org 
federal_energy_regulatory_commission::: ;NN nc org 
federal_highway_administration::: ;NN nc org 
federal_housing_administration::: ;NN nc org 
federal_housing_finance_board::: ;NN nc org 
federal_job_safety_law::: N nc; 
federal_labor_relations_authority::: ;NN nc org 
federal_law_enforcement_training_center::: ;NN nc org 
federal_mediation_and_conciliation_service::: ;NN nc org 
federal_mine_safety_and_health_review_commission::: ;NN nc org 
federal_prison_industries::: ;NN nc org 
federal_reserve_system::: ;NN nc org 
federal_retirement_thrift_investment_board::: ;NN nc org 
federal_savings_bank::: ;org 
federal_tax_lien::: N nc;tech 
federal_trade_commission::: ;NN nc org 
federation_of_tribes::: N nc;orgHN 
feed_back::: VB vc;VPP 
feed_in::: VB vc;vt 
feed_on::: VB vc;vt 
feed_out::: VB vc;vt 
feed_up::: VB vc;VI VPP 
feel_up::: VB vc;vt 
felt_tip_pen::: N nc;tool 
female_contraceptive_device::: N nc;treatment 
female_genital_organ::: N nc;bodyPart 
female_internal_reproductive_organ::: N nc;bodyPart 
female_reproductive_system::: N nc;bodyPart 
female_sterilization_reversal::: N nc;treatment 
femur_intertrochanteric_osteotomy::: N nc;treatment 
fermi_national_accelerator_laboratory::: ;NN nc org 
ferrari-carano_vineyards_and_winery::: NNP NE;nc com nc 
ferret_out::: VB vc;vt 
ferris_state_university::: ;NN nc org 
ferro_solutions::: NNP NE;nc com nc 
ferry_across::: VB vc;VPP 
ferry_out::: VB vc;VPP 
fertilization_in_vitro::: N nc;treatment 
festival_republic::: NNP NE;nc com nc 
fetal_heart_rate::: N nc;abstract 
fetal_tissue_transplantation::: N nc;treatment 
fetch_back::: VB vc;VPP 
fetch_down::: VB vc;vt 
fetch_in::: VB vc;vt 
fetch_out::: VB vc;vt 
few_and_far_between::: ;RB idiomPP 
fiber-optic_transmission_system::: N nc;tool 
fibre-optic_transmission_system::: N nc;tool 
fibre_optic_cable::: N nc;tool 
fiddle_about::: VB vc;VPP 
fiddle_around::: VB vc;VPP 
field-sequential_color_television::: N nc;tool 
field-sequential_color_television_system::: N nc;tool 
field-sequential_color_tv::: N nc;tool 
field-sequential_color_tv_system::: N nc;tool 
field_emission_microscope::: N nc;tool 
field_of_battle::: N nc; 
field_of_fire::: N nc; 
field_of_honor::: N nc; 
field_of_operation::: N nc; 
field_of_operations::: N nc; 
field_of_regard::: N nc unit; 
field_of_study::: N nc; 
field_of_view::: N nc unit; 
field_of_vision::: N nc unit; 
field_press_censorship::: N nc;tech 
field_service_representative::: N nc;job 
field_strength_unit::: N nc unit; 
fifth_cranial_nerve::: N nc;bodyPart 
fight_out::: VB vc;vt 
fight_through::: VB vc;vt 
figure_in::: VB vc;vt 
figure_of_speech::: N nc;tech 
figure_up::: VB vc;vt 
filament_technology::: NNP NE;nc com nc 
file_alloc_table::: N nc;tool 
file_away::: VB vc;vt 
file_name_extension::: N nc; 
file_out::: VB vc;VI 
file_transfer_protocol::: N nc;tech 
fill_in::: VB vc;VI VNPPP VPP vt 
fill_out::: VB vc;VI VNPPP vt 
filter_out::: VB vc;vt 
fina_oil_&_chemical::: NNP NE;nc com nc 
finance_operations_manager::: N nc;job 
financial_crimes_enforcement_network::: ;NN nc org 
find_out::: VB vc;VHOWSS VI VPP VTH VWHSS vt 
finding_of_fact::: N nc; 
finding_of_law::: N nc; 
fine_ass_bitch::: N nc;coolC 
fine_away::: VB vc;vt 
fine_down::: VB vc;vt 
fine_off::: VB vc;vt 
fine_yarn_chemical_fiber::: NNP NE;nc com nc 
finish_line::: N nc; 
finish_out::: VB vc;vt 
finish_together::: VB vc;VI 
finish_up::: VB vc;VNG VPP vt 
firan_technology_group::: NNP NE;nc com nc 
fire_back::: VB vc;VPP 
fire_control_radar::: N nc;tool 
fire_control_system::: N nc;tool 
fire_off::: VB vc;vt 
first_aid_kit::: N nc;tool 
first_aid_station::: N nc; 
first_class_honours_degree::: N nc; 
first_class_mail::: N nc; 
first_cranial_nerve::: N nc;bodyPart 
first_law_of_motion::: N nc;tech 
first_law_of_thermodynamics::: N nc;tech 
first_order_correlation::: N nc unit; 
first_place_finish::: N nc;event 
first_source_solutions::: NNP NE;nc com nc 
first_trust_bank::: NNP NE;nc com nc 
firstwave_technologies::: NNP NE;nc com nc 
fish_around::: VB vc;VPP 
fish_out::: VB vc;vt 
fish_up::: VB vc;vt 
fissure_of_rolando::: N nc;bodyPart 
fissure_of_sylvius::: N nc;bodyPart 
fit_back::: VB Ven past vc;VPP 
fit_in::: VB vc;VI VPP vt 
fit_out::: VB Ven past vc;VNPPP 
fit_together::: VB Ven past vc;VI vt 
fitchburg_state_college::: ;NN nc org 
five_star_technologies::: NNP NE;nc com nc 
fix_it_up::: N nc;prod0 
fixed_investment_trust::: N nc;com 
flag_down::: VB vc;vt 
flag_of_truce::: N nc; 
flag_up::: VB vc;vt 
flail_around::: VB vc;VI 
flail_away::: VB vc;VI VPP 
flake_out::: VB vc;VI VPP 
flank_off::: VB vc;VI 
flap_away::: VB vc;VI 
flare_out::: VB vc;VI VPP 
flash_butt_welding::: N nc;tech 
flash_off::: VB vc;vt 
flash_out::: VB vc;VPP 
flat_panel_display::: N nc;tool 
flat_tip_screwdriver::: N nc;tool 
flea_&_tick::: N nc;nt 
flea_and_tick::: N nc;nt 
flea_life_cycle::: N nc;nt 
fleet_ballistic_missile_submarine::: N nc;tool 
flick_away::: VB vc;vt 
flight_of_stairs::: N nc; 
flight_of_steps::: N nc; 
flight_safety_technologies::: NNP NE;nc com nc 
fling_away::: VB vc;vt 
fling_back::: VB vc;vt 
fling_down::: VB vc;vt 
fling_off::: VB vc;vt 
fling_up::: VB vc;vt 
flip_over::: VB vc;vt 
float_off::: VB vc;vt 
floating-point_representation_system::: N nc;tech 
floating_dry_dock::: N nc;tool 
flop_over::: VB vc;VI vt 
florence-darlington_technical_college::: ;NN nc org 
florida_a&m_university::: ;NN nc org 
florida_atlantic_university::: ;NN nc org 
florida_gulf_coast_university::: ;NN nc org 
florida_international_university::: ;NN nc org 
florida_memorial_college::: ;NN nc org 
florida_state_university::: ;NN nc org 
florida_technical_college::: ;NN nc org 
flow_away::: VB vc;VPP 
flow_back::: VB vc;VI VPP 
flow_forth::: VB vc;VI 
flow_in::: VB vc;VI 
flow_of_air::: N nc unit; 
flow_out::: VB vc;VI VPP VPPPP 
flow_through::: VB vc;VI 
flow_together::: VB vc;VI 
flowers_foods::: NNP NE;nc com nc 
fluff_out::: VB vc;vt 
fluff_up::: VB vc;vt 
flush_out::: VB vc;VI vt 
flux_density_unit::: N nc unit; 
fly_back::: VB vc;VPP vt 
fly_bridge::: N nc; 
fly_off::: VB vc;VPP 
fly_out::: VB vc;VPP vt 
fly_over::: VB vc;vt 
fly_up::: VB vc;VPP 
flytech_technology::: NNP NE;nc com nc 
fmc_industrial_chemicals::: NNP NE;nc com nc 
fob_off::: VB vc;VPP vt 
fold_back::: VB vc;vt 
fold_down::: VB vc;vt 
follow_out::: VB vc;vt 
food_and_drug_administration::: ;NN nc org 
food_ingredients_technologies_fit::: NNP NE;nc com nc 
food_nutrient_loss::: N nc unit;nt 
food_nutrient_retention::: N nc unit;up 
food_safety_education::: N nc;tech 
food_safety_training::: N nc;tech 
fool_away::: VB vc;vt 
fool_off::: VB vc;vt 
foot_locker::: NNP NE;nc com nc 
for_all_the_world::: ;RB idiomPP scope 
for_better_of_for_worse::: oral;RB concession idiomPP 
for_better_or_worse::: oral;RB concession idiomPP 
for_fear_of::: P;perF vtt 
for_no_reason::: ;RB idiomPP 
for_the_fun_of_it::: ;RB idiomPP 
for_the_heck_of_it::: oral;RB idiomPP 
for_the_hell_of_it::: oral;RB idiomPP 
for_the_moment::: ;RB idiomPP timeR timeRB 
for_the_sake_of::: P;vtt /for/ 
for_the_win::: ;RB good idiomPP 
for_what_it's_worth::: ;RB idiomPP 
for_whatever_reason::: ;RB idiomPP 
for_whatever_reasons::: ;RB idiomPP plu 
force_10_networks::: NNP NE;nc com nc 
force_apart::: VB vc;vt 
force_feed_lubricating_system::: N nc;prod tool 
force_out::: VB vac vc;abstract chgInclude remove vt 
ford_microelectronics::: NNP NE;nc com nc 
ford_motors::: NNP NE;nc com nc 
foreign_service::: ;NN nc org 
foreign_terrorist_organization::: N nc;orgHN 
fork_out::: VB vc;vt 
fork_over::: VB vc;vt 
fork_up::: VB vc;vt 
former_armed_forces::: ;org 
formosa_chemical_&_fiber::: NNP NE;nc com nc 
formosa_petrochemical::: NNP NE;nc com nc 
forsyth_technical_community_college::: ;NN nc org 
fort_hays_state_university::: ;NN nc org 
foster_farms::: NNP NE;nc com nc 
foul_out::: VB vc;VI 
foundation_skateboards::: NNP NE;nc com nc 
four-stroke_internal_combustion_engine::: N nc;tool 
fourth_of_july::: NNP nc;timeUnit 
fox_broadcasting::: NNP NE;nc com nc 
fox_valley_technical_college_at_appleton::: ;NN nc org 
foxconn_technology::: NNP NE;nc com nc 
fracture_external_fixation::: N nc;treatment 
framingham_state_college::: ;NN nc org 
franchise_out::: VB vc;VNPPP vt 
francis_ford_coppola_winery::: NNP NE;nc com nc 
franklin_and_marshall_college::: ;NN nc org 
franklin_electronics_publishers::: NNP NE;nc com nc 
free_of_charge::: ;RB price pt 
free_skin_graft::: N nc;treatment 
free_thyroxine_index_level::: N nc;abstract 
free_tissue_graft::: N nc;treatment 
free_up::: VB vc;VNPPP vt 
free_will_baptist_bible_college::: ;NN nc org 
freed-hardeman_university::: ;NN nc org 
freelandia_bible_college_&_seminary::: ;NN nc org 
freeze_down::: VB vc;vt 
freeze_out::: VB vc;vt 
freeze_over::: VB vc;vt 
freeze_together::: VB vc;vt 
french_polish_shellac::: N nc;tool 
frequency_electronics::: NNP NE;nc com nc 
fresno_pacific_university::: ;NN nc org 
fret_away::: VB vc;vt 
frisch's_restaurants::: NNP NE;nc com nc 
fritter_away::: VB vc;VI VPP vt 
frivol_away::: VB vc;vt 
frizz_out::: VB vc;vt 
frizz_up::: VB vc;vt 
frizzle_up::: VB vc;vt 
from_bad_to_worse::: ;RB idiomPP 
from_day_one::: ;RB idiomPP timeRB 
from_head_to_toe::: ;RB idiomPP 
from_out_of_the_past::: ;RB idiomPP 
from_rags_to_riches::: ;RB idiomPP 
from_soup_to_nuts::: A ac;idiomPP 
from_the_horse's_mouth::: A ac;idiomPP 
from_the_outset::: ;RB idiomPP 
from_the_sublime_to_the_ridiculous::: ;RB idiomPP 
from_the_word_go::: ;RB idiomPP 
front_page_entertainment_content_producer::: N nc;job 
frost_over::: VB vc;VI vt 
frost_up::: VB vc;VI vt 
frostburg_state_university::: ;NN nc org 
fry's_electronics::: NNP NE;nc com nc 
fuck_holy_fuck::: A ac;coolC 
fuck_with::: VB vc;tWord 
fuck_yeah::: A ac oral;coolC 
fuel_cell_stack::: N nc;tool 
fuel_injection_system::: N nc;prod tool 
fugitive_from_justice::: N nc;per 
fuji_bikes::: NNP NE;nc com nc 
fuji_electric_device::: NNP NE;nc com nc 
fujian_fuqing_dongge_overseas_chinese_chemical_factory::: NNP NE;nc com nc 
fukui_computer::: NNP NE;nc com nc 
full_metal_jacket::: N nc;tool 
full_of_flavor::: A ac;pt 
full_of_salt::: N nc;nt 
full_service_bank::: N nc;com 
full_thickness_skin_graft::: N nc;treatment 
fuller_theological_seminary::: ;NN nc org 
fulton-montgomery_community_college::: ;NN nc org 
funnel_back::: VB vc;VPP 
funnel_down::: VB vc;VPP 
funny_or_die::: NNP NE;nc com nc 
furl_up::: VB vc;vt 
fuse_together::: VB vc;VI vt 
fuss_around::: VB vc;VPP 
fye_-_for_your_entertainment::: NNP NE;nc com nc 
g.h._mumm_et_cie::: NNP NE;nc com nc 
gadsden_state_community_college::: ;NN nc org 
gallbladder_cancer_cellular_diagnosis::: N nc;treatment 
gamble_away::: VB vc;vt 
gaming_and_entertainment::: N nc;comHN 
gamma_knife_radiosurgery::: N nc;treatment 
gang_up::: VB vc;VPP 
garbage_waste_trash_rubbish_bin::: N nc;solution 
gardner-webb_university::: ;NN nc org 
gas_separation_technology::: NNP NE;nc com nc 
gas_turbine_ship::: N nc;tool 
gastrectomy_billroth_i::: N nc;treatment 
gastrectomy_billroth_ii::: N nc;treatment 
gastric_cancer_cellular_diagnosis::: N nc;treatment 
gateway_technical_college::: ;NN nc org 
gather_around::: VB vc;VI 
gather_together::: VB vc;VI VPP vt 
gather_up::: VB vc;vt 
gayatri_minerals_&_chemicals::: NNP NE;nc com nc 
gaze_out::: VB vc;VPP 
gbu_mbh_biogas_and_environmental_technologies::: NNP NE;nc com nc 
geejay_chemicals::: NNP NE;nc com nc 
gemini_the_twins::: N nc; 
gene_biotechnologies::: NNP NE;nc com nc 
gene_directed_enzyme_prodrug_therapy::: N nc;treatment 
gene_gun_immunization::: N nc;treatment 
gene_replacement_therapy::: N nc;treatment 
genelabs_technologies::: NNP NE;nc com nc 
general_american_transportation::: NNP NE;nc com nc 
general_chemical::: NNP NE;nc com nc 
general_dynamics_information_technology::: NNP NE;nc com nc 
general_electric::: NNP NE;nc com nc 
general_mills::: NNP NE;nc com nc 
general_motors::: NNP NE;nc com nc 
general_nutrition_centers::: NNP NE;nc com nc 
general_packet_radio_service::: N nc;tech 
generex_biotechnology::: NNP NE;nc com nc 
genesis_technology_partners::: NNP NE;nc com nc 
genotypic_technology::: NNP NE;nc com nc 
geographic_info_system::: N nc;tech 
geographical_info_system::: N nc;tech 
georgetown_college::: ;NN nc org 
georgetown_university::: ;NN nc org 
georgia_baptist_college_of_nursing::: ;NN nc org 
georgia_southern_university::: ;NN nc org 
georgia_southwestern_state_university::: ;NN nc org 
georgia_state_university::: ;NN nc org 
georgia_tech::: ;NN nc org 
georgian_court_college::: ;NN nc org 
germ_line_gene_therapy::: N nc;treatment 
german_electronics::: NNP NE;nc com nc 
germchase_chemicals::: NNP NE;nc com nc 
gestational_trophoblastic_tumor_cellular_diagnosis::: N nc;treatment 
get_ahead_of::: VB vc;succeed vtt 
get_along::: VB vc;VI 
get_around::: VB vc;VI VNG 
get_around_to::: VB vc;VNG 
get_away::: VB vc;VI 
get_away_with::: VB vc;VNG vt 
get_by::: VB vc;VI 
get_down::: VB vc;VPP vt 
get_in::: VB vc;VI 
get_it_sold::: N nc;prod0 
get_it_together::: N nc;prod0 
get_off::: VB vc;VI VNG VNPPP VPP vt 
get_on::: VB vc;VI 
get_out::: VB vc;VI 
get_out_of::: VB vc;VNG chgForm remove separate vtt 
get_over::: VB vc;VI 
get_rid_of::: VB vc;enHidden remove vtt 
get_through::: VB vc;VI 
get_together::: VB vc;VI VNG VNPPPas VNPPPfor VNPTOoc VPP vt vtoV 
gft_technologies::: NNP NE;nc com nc 
gharda_chemicals::: NNP NE;nc com nc 
giantplus_technology::: NNP NE;nc com nc 
gibco_brl_life_technologies::: NNP NE;nc com nc 
giga-byte_technology::: NNP NE;nc com nc 
ginnie_mae::: ;NN nc org 
girdle_up::: VB vc;vt 
give_away::: VB vc;VI VNPPP VNPPPas VPP dative vt 
give_back::: VB vc;VNPPP vt 
give_off::: VB vc;vt 
give_out::: VB vc;VI VNPPP vt 
give_over::: VB vc;VNPPP vt 
give_up::: VB vc;VI VNG VNPPP VPP remove vt 
give_way_to::: VB vc;tWord 
giving_up_on::: VB vc;Ving remove 
glass_in::: VB vc;vt 
glass_over::: VB vc;VI vt 
glaze_over::: VB vc;VI vt 
glenayre_technologies::: NNP NE;nc com nc 
glendale_state_college::: ;NN nc org 
global_bio-chem_technology_group::: NNP NE;nc com nc 
global_chemical_and_supply::: NNP NE;nc com nc 
global_gillette::: NNP NE;nc com nc 
global_mixed-mode_technology::: NNP NE;nc com nc 
global_payment_technologies::: NNP NE;nc com nc 
global_positioning_system::: N nc;tech 
global_security_solutions::: NNP NE;nc com nc 
global_system_for_mobile_communications::: N nc;tech 
globe_institute_of_technology::: ;NN nc org 
globespan_capital_partners::: NNP NE;nc com nc 
glomerular_filtration_rate::: N nc;abstract 
gloria_material_technology::: NNP NE;nc com nc 
gloss_over::: VB vc;vt 
glue_together::: VB vc;vt 
gluten_free_diet::: N nc;treatment 
glycon_biochemicals::: NNP NE;nc com nc 
glycoside_heart_muscle_level::: N nc;abstract 
go_along::: VB vc;VPP 
go_down_hill::: VB vc;nt 
go_in::: VB vc;VPP 
go_off::: VB vc;VPP 
go_on::: VB vc;VPP vtoV 
go_out::: VB vc;VPP 
go_over::: VB vc;VPP 
go_to::: VB vc;vtt 
go_to_great_lengths::: VB vc;vtoV 
go_to_hell::: VB vc;curse emph hate passion 
go_to_place::: N nc;good 
go_to_spot::: N nc;good 
go_way_down_hill::: VB vc;nt 
go_way_downhill::: VB vc;nt 
go_way_way_downhill::: VB vc;nt past 
gobble_up::: VB vc;vt 
godisa_technology::: NNP NE;nc com nc 
gold_circuit_electronics::: NNP NE;nc com nc 
golden_sado::: NNP NE;nc com nc 
goldey-beacom_college::: ;NN nc org 
goldleaf_financial_solutions::: NNP NE;nc com nc 
goldman_sachs_electronic_trading::: NNP NE;nc com nc 
golsam_gorgan_chemicals::: NNP NE;nc com nc 
gonzaga_university::: ;NN nc org 
good_and_bad::: N nc; 
good_faith_estimate::: N nc;solution 
good_for_nothing::: A ac oral;curse 
good_ol'_boy::: N nc;per 
good_old_boy::: N nc;per 
good_ole_boy::: N nc;per 
good_profit_maker::: N nc;nt 
good_riddance_to::: A ac;bad 
goodyear_chemical::: NNP NE;nc com nc 
gopal_electronics::: NNP NE;nc com nc 
gordon-conwell_theological_seminary::: ;NN nc org 
gouge_out::: VB vc;vt 
government_accounting_office::: ;NN nc org 
government_sales_professional::: N nc;job 
governors_state_university::: ;NN nc org 
grade_10_student::: N nc; 
grade_1_student::: N nc; 
grade_2_student::: N nc; 
grade_3_student::: N nc; 
grade_4_student::: N nc; 
grade_5_student::: N nc; 
grade_6_student::: N nc; 
grade_7_student::: N nc; 
grade_8_student::: N nc; 
grade_9_student::: N nc; 
graft_versus_leukemia_effect::: N nc;treatment 
graft_versus_lymphoma_effect::: N nc;treatment 
grain_communications_group::: NNP NE;nc com nc 
grambling_state_university::: ;NN nc org 
grand_valley_state_university::: ;NN nc org 
grandfather_in_law::: N nc;relatives 
grandmother_in_law::: N nc;relatives 
graphical_user_interface::: N nc;tech tool 
grasping_at_straws::: ;Ving nt vi 
graver_technologies::: NNP NE;nc com nc 
great_dragon_biochemicals::: NNP NE;nc com nc 
great_lakes_chemical::: NNP NE;nc com nc 
great_lakes_dredge_and_dock::: NNP NE;nc com nc 
great_white_hope::: NN nc;per 
greatek_electronics::: NNP NE;nc com nc 
greatpoint_energy::: NNP NE;nc com nc 
greenpeak_technologies::: NNP NE;nc com nc 
grill_up::: VB vc;vt 
grind_out::: VB vc;vt 
grind_together::: VB vc;VI 
groove_together::: VB vc;VI 
ground_effect_machine::: N nc;tool 
group_technologies::: NNP NE;nc com nc 
group_together::: VB vc;VI VPP 
groupe_bull::: NNP NE;nc com nc 
grow_out::: NN VB vc;VI vt 
grow_over::: VB vc;VI 
grp_partners::: NNP NE;nc com nc 
gruner_+_jahr::: NNP NE;nc com nc 
gts_general_technology_&_service::: NNP NE;nc com nc 
gtt_cellular_diagnosis::: N nc;treatment 
guangdong_liwei_chemical::: NNP NE;nc com nc 
guangzhou_hisun_industrial_chemicals::: NNP NE;nc com nc 
guangzhou_wen_jun_industrial_chemicals::: NNP NE;nc com nc 
guanyun_bio-science_and_technology::: NNP NE;nc com nc 
guard_of_honor::: NN nc;job org 
guest_of_honor::: NN nc;per 
guide_in::: VB vc;vt 
guide_industrial_chemicals::: NNP NE;nc com nc 
guided_bomb_unit-28::: NN nc;tool 
guided_missile_cruiser::: NN nc;tool 
guided_missile_destroyer::: NN nc;tool 
guided_missile_frigate::: N nc;tool 
guidotti_farma::: NNP NE;nc com nc 
guiyang_hi-tech_taifeng_aerospace_technology::: NNP NE;nc com nc 
gujarat_alkalies_&_chemicals::: NNP NE;nc com nc 
gujarat_fluorochemicals::: NNP NE;nc com nc 
gujarat_state_fertilisers_&_chemicals::: NNP NE;nc com nc 
gulf_war_syndrome::: N nc;nt 
gulp_down::: VB vc;vt 
gum_technology::: NNP NE;nc com nc 
gun_ei_chemical_industry::: NNP NE;nc com nc 
gun_for_hire::: NN nc;job 
gush_out::: VB vc;VI VPP 
gustavus_adolphus_college::: ;NN nc org 
guzzle_down::: VB vc;vt 
gwynedd-mercy_college::: ;NN nc org 
hack_away::: VB vc;VPP 
hahn_brewery::: NNP NE;nc com nc 
haier_electronics::: NNP NE;nc com nc 
hallmark_cards::: NNP NE;nc com nc 
ham_up::: VB vc;vt 
hammer_away::: VB vc;VPP 
hammer_film_productions::: NNP NE;nc com nc 
hammer_in::: VB vc;vt 
hammer_out::: VB vc;vt 
hammond_power_solutions::: NNP NE;nc com nc 
hana_microelectronics::: NNP NE;nc com nc 
hand_around::: VB vc;vt 
hand_back::: VB vc;VNPPP vt 
hand_down::: VB vc;VNPPP vt 
hand_held_computer::: N nc;tool 
hand_held_microcomputer::: N nc;tool 
hand_in::: VB vc;VNPPP vt 
hand_on::: VB vc;vt 
hand_out::: VB vc;VNPPP VPP dative vt 
hand_over::: VB vc;VNPPP dative vt 
hand_up::: VB vc;VNPPP vt 
hands-on_mobile::: NNP NE;nc com nc 
hang_down::: VB vc;VI 
hang_open::: VB vc;VI 
hang_out::: VB vc;VI VPP 
